Frequent set: { El Salvador Aid }, support: 0.49
Frequent set: { Not Aid to Nicaraguan Contras }, support: 0.41
Frequent set: { Not MX Missile }, support: 0.47
Frequent set: { Export Administration Act South Africa }, support: 0.62
Frequent set: { Not Superfund Right to Sue }, support: 0.46
Frequent set: { Water Project Cost Sharing }, support: 0.45
Frequent set: { Democrat }, support: 0.61
Frequent set: { Physician Fee Freeze }, support: 0.41
Frequent set: { Handicapped Infants }, support: 0.43
Frequent set: { Republican }, support: 0.39
Frequent set: { Not Religious Groups in Schools }, support: 0.35
Frequent set: { Not Immigration }, support: 0.49
Frequent set: { Not Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Not El Salvador Aid }, support: 0.48
Frequent set: { Religious Groups in Schools }, support: 0.63
Frequent set: { MX Missile }, support: 0.48
Frequent set: { Not Synfuel Corporatino Cutback }, support: 0.61
Frequent set: { Not Anty Satellite Test Band }, support: 0.42
Frequent set: { Not Duty Free Exports }, support: 0.54
Frequent set: { Crime }, support: 0.57
Frequent set: { Duty Free Exports }, support: 0.40
Frequent set: { Not Handicapped Infants }, support: 0.54
Frequent set: { Synfuels Corporation Cutback }, support: 0.34
Frequent set: { Not Crime }, support: 0.39
Frequent set: { Aid to Nicaraguan Contras }, support: 0.56
Frequent set: { Not Physician Fee Freeze }, support: 0.57
Frequent set: { Immigration }, support: 0.50
Frequent set: { Education Spending }, support: 0.93
Frequent set: { Superfund Right to Sue }, support: 0.48
Frequent set: { Not Water Project Cost Sharing }, support: 0.44
Frequent set: { Adoption of the Budget Resolution }, support: 0.58
Frequent set: { Anti Satellite Test Band }, support: 0.55
Frequent set: { Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.41
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Not Crime, Democrat, Not Physician Fee Freeze, MX Missile }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile }, support: 0.35
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, MX Missile, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Not Superfund Right to Sue, Education Spending, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze }, support: 0.33
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Aid to Nicaraguan Contras, Democrat, Not Physician Fee Freeze, Duty Free Exports, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Education Spending, Anti Satellite Test Band, Not Crime, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.30
Frequent set: { Education Spending, Physician Fee Freeze, Religious Groups in Schools, Crime, El Salvador Aid }, support: 0.32
Frequent set: { Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, MX Missile }, support: 0.36
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Adoption of the Budget Resolution }, support: 0.37
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.38
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Crime, Democrat, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Not Duty Free Exports, Crime, Not MX Missile, Not Aid to Nicaraguan Contras, El Salvador Aid }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, MX Missile }, support: 0.36
Frequent set: { Education Spending, Physician Fee Freeze, Religious Groups in Schools, Republican, El Salvador Aid }, support: 0.31
Frequent set: { Education Spending, Not Crime, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Democrat }, support: 0.31
Frequent set: { Physician Fee Freeze, Religious Groups in Schools, Crime, Not MX Missile, El Salvador Aid }, support: 0.31
Frequent set: { Education Spending, Not Anty Satellite Test Band, Not MX Missile, Not Aid to Nicaraguan Contras, El Salvador Aid }, support: 0.30
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.38
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.43
Frequent set: { Physician Fee Freeze, Religious Groups in Schools, Crime, Republican, El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Democrat, Not Physician Fee Freeze, MX Missile }, support: 0.32
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze }, support: 0.35
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Democrat, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Education Spending, Religious Groups in Schools, Not MX Missile, Superfund Right to Sue, El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Crime, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Education Spending, Physician Fee Freeze, Not MX Missile, Republican, El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Democrat, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, MX Missile }, support: 0.35
Frequent set: { Education Spending, Religious Groups in Schools, Not Duty Free Exports, Crime, El Salvador Aid }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Education Spending, Religious Groups in Schools, Not Duty Free Exports, Not MX Missile, Not Aid to Nicaraguan Contras }, support: 0.30
Frequent set: { Education Spending, Religious Groups in Schools, Not Duty Free Exports, Not MX Missile, El Salvador Aid }, support: 0.32
Frequent set: { Education Spending, Religious Groups in Schools, Not Anty Satellite Test Band, Not Aid to Nicaraguan Contras, El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Democrat, Not Physician Fee Freeze }, support: 0.35
Frequent set: { Education Spending, Anti Satellite Test Band, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Education Spending, Anti Satellite Test Band, Democrat, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Aid to Nicaraguan Contras, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.34
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Democrat, MX Missile, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Education Spending, Anti Satellite Test Band, Not Crime, Democrat, Not El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Democrat, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Not Superfund Right to Sue, Education Spending, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.41
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Democrat, Not Physician Fee Freeze, Duty Free Exports }, support: 0.31
Frequent set: { Education Spending, Religious Groups in Schools, Not Aid to Nicaraguan Contras, Superfund Right to Sue, El Salvador Aid }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Not Crime, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile }, support: 0.37
Frequent set: { Not Superfund Right to Sue, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Anti Satellite Test Band, Democrat, Not El Salvador Aid, MX Missile }, support: 0.34
Frequent set: { Religious Groups in Schools, Not Duty Free Exports, Crime, Superfund Right to Sue, El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Physician Fee Freeze }, support: 0.32
Frequent set: { Religious Groups in Schools, Not Duty Free Exports, Crime, Not MX Missile, El Salvador Aid }, support: 0.31
Frequent set: { Education Spending, Religious Groups in Schools, Not MX Missile, Not Aid to Nicaraguan Contras, El Salvador Aid }, support: 0.32
Frequent set: { Education Spending, Physician Fee Freeze, Religious Groups in Schools, Crime, Republican }, support: 0.30
Frequent set: { Education Spending, Religious Groups in Schools, Crime, Not MX Missile, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.40
Frequent set: { Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, MX Missile, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Religious Groups in Schools, Crime, Not Aid to Nicaraguan Contras, Not Anty Satellite Test Band, El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.34
Frequent set: { Religious Groups in Schools, Crime, Not MX Missile, Not Aid to Nicaraguan Contras, El Salvador Aid }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Democrat, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile }, support: 0.33
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile }, support: 0.34
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, MX Missile }, support: 0.34
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Democrat, Not Physician Fee Freeze }, support: 0.30
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Crime, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Crime, Democrat, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Anti Satellite Test Band, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.38
Frequent set: { Education Spending, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Anti Satellite Test Band, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.30
Frequent set: { Education Spending, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Education Spending, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.33
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, MX Missile, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Education Spending, Religious Groups in Schools, Crime, Not MX Missile, Not Aid to Nicaraguan Contras, El Salvador Aid }, support: 0.31
Frequent set: { Education Spending, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Democrat, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Education Spending, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile }, support: 0.35
Frequent set: { Education Spending, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.36
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.36
Frequent set: { Not Superfund Right to Sue, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze }, support: 0.32
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Democrat, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Not Superfund Right to Sue, Education Spending, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.37
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.32
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Crime, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Aid to Nicaraguan Contras, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.37
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, MX Missile, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile }, support: 0.30
Frequent set: { Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Education Spending, Anti Satellite Test Band, Democrat, Not El Salvador Aid, MX Missile, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, MX Missile }, support: 0.34
Frequent set: { Education Spending, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Education Spending, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile }, support: 0.32
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, MX Missile, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat, Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.30
